date,rolling_average_cases_per_100k_centered,region,state,name,fipscode
2020-01-26,0.0,Midwest,MN,Hennepin,27053
2020-01-26,0.0,Midwest,IL,Peoria,17143
2020-01-26,0.0,Midwest,IN,Steuben,18151
2020-01-26,0.0,Midwest,IN,Lake,18089
2020-01-27,0.0,Midwest,IN,Steuben,18151
2020-01-27,0.0,Midwest,IN,Lake,18089
2020-01-27,0.0,Midwest,IL,Peoria,17143
2020-01-27,0.0,Midwest,MN,Hennepin,27053
2020-01-28,0.0,Midwest,IN,Lake,18089
2020-01-28,0.0,Midwest,IN,Steuben,18151
2020-01-28,0.0,Midwest,MN,Hennepin,27053
2020-01-28,0.0,Midwest,IL,Peoria,17143
2020-01-29,0.0,Midwest,MN,Hennepin,27053
2020-01-29,0.0,Midwest,IL,Peoria,17143
2020-01-29,0.0,Midwest,IN,Lake,18089
2020-01-29,0.0,Midwest,IN,Steuben,18151
2020-01-30,0.0,Midwest,IL,Peoria,17143
2020-01-30,0.0,Midwest,IN,Lake,18089
2020-01-30,0.0,Midwest,IN,Steuben,18151
2020-01-30,0.0,Midwest,MN,Hennepin,27053
2020-01-31,0.0,Midwest,IL,Peoria,17143
2020-01-31,0.0,Midwest,MN,Hennepin,27053
2020-01-31,0.0,Midwest,IN,Steuben,18151
2020-01-31,0.0,Midwest,IN,Lake,18089
2020-02-01,0.0,Midwest,IN,Lake,18089
2020-02-01,0.0,Midwest,IN,Steuben,18151
2020-02-01,0.0,Midwest,IL,Peoria,17143
2020-02-01,0.0,Midwest,MN,Hennepin,27053
2020-02-02,0.0,Midwest,IN,Lake,18089
2020-02-02,0.0,Midwest,IN,Steuben,18151
2020-02-02,0.0,Midwest,MN,Hennepin,27053
2020-02-02,0.0,Midwest,IL,Peoria,17143
2020-02-03,0.0,Midwest,MN,Hennepin,27053
2020-02-03,0.0,Midwest,IN,Lake,18089
2020-02-03,0.0,Midwest,IN,Steuben,18151
2020-02-03,0.0,Midwest,IL,Peoria,17143
2020-02-04,0.0,Midwest,IL,Peoria,17143
2020-02-04,0.0,Midwest,MN,Hennepin,27053
2020-02-04,0.0,Midwest,IN,Steuben,18151
2020-02-04,0.0,Midwest,IN,Lake,18089
2020-02-05,0.0,Midwest,IN,Lake,18089
2020-02-05,0.0,Midwest,IL,Peoria,17143
2020-02-05,0.0,Midwest,MN,Hennepin,27053
2020-02-05,0.0,Midwest,IN,Steuben,18151
2020-02-06,0.0,Midwest,IN,Lake,18089
2020-02-06,0.0,Midwest,IL,Peoria,17143
2020-02-06,0.0,Midwest,IN,Steuben,18151
2020-02-06,0.0,Midwest,MN,Hennepin,27053
