_id,Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
1,20200228,S08000015,NHS Ayrshire and Arran,0,0,0,,0,0,0,8,28,7.608902416,9,0,0,,9,0,,:,,:,0,0
2,20200228,S08000016,NHS Borders,0,0,0,,0,0,0,3,25,21.6938563,3,0,0,,3,0,,:,,:,0,0
3,20200228,S08000017,NHS Dumfries and Galloway,0,0,0,,0,0,0,8,20,13.48708612,9,0,0,,9,0,,:,,:,0,0
4,20200228,S08000019,NHS Forth Valley,0,0,0,,0,0,0,14,58,18.9585853,20,0,0,,20,0,,:,,:,0,0
5,20200228,S08000020,NHS Grampian,0,1,0.170779609,,0,0,0,6,80,13.66236871,6,0,0,,6,0,,:,,:,0,0
6,20200228,S08000022,NHS Highland,0,0,0,,0,0,0,3,29,9.038209811,4,0,0,,4,0,,:,,:,0,0
7,20200228,S08000024,NHS Lothian,0,0,0,,0,0,0,43,153,16.76730704,51,0,0,,51,0,,:,,:,0,0
8,20200228,S08000025,NHS Orkney,0,0,0,,0,0,0,0,3,13.39285714,0,0,0,,0,0,,:,,:,0,0
9,20200228,S08000029,NHS Fife,0,0,0,,0,0,0,12,54,14.43348569,14,0,0,,14,0,,:,,:,0,0
10,20200228,S08000030,NHS Tayside,1,1,0.240067219,,0,0,0,5,82,19.68551194,8,2,25,,8,0,,:,,:,2,0
11,20200228,S08000031,NHS Greater Glasgow and Clyde,0,0,0,,0,0,0,17,113,9.533934056,28,0,0,,28,0,,:,,:,0,0
12,20200228,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,9,56,8.459725663,10,0,0,,10,0,,:,,:,0,0
13,20200228,S92000003,Scotland,1,2,0.036589828,,0,0,0,128,701,12.82473472,164,2,1.219512195,,164,0,,:,,:,2,0
14,20200229,S08000015,NHS Ayrshire and Arran,0,0,0,,0,0,0,4,32,8.695888475,4,0,0,,4,0,,:,,:,0,0
15,20200229,S08000016,NHS Borders,0,0,0,,0,0,0,2,27,23.4293648,3,0,0,,3,0,,:,,:,0,0
16,20200229,S08000017,NHS Dumfries and Galloway,0,0,0,,0,0,0,5,25,16.85885764,8,0,0,,8,0,,:,,:,0,0
17,20200229,S08000019,NHS Forth Valley,0,0,0,,0,0,0,10,68,22.2273069,14,0,0,,14,0,,:,,:,0,0
18,20200229,S08000020,NHS Grampian,0,1,0.170779609,,0,0,0,5,85,14.51626676,5,0,0,,5,0,,:,,:,0,0
19,20200229,S08000022,NHS Highland,0,0,0,,0,0,0,3,32,9.973197033,4,0,0,,4,0,,:,,:,0,0
20,20200229,S08000024,NHS Lothian,0,0,0,,0,0,0,5,158,17.31525825,5,0,0,,5,0,,:,,:,0,0
21,20200229,S08000025,NHS Orkney,0,0,0,,0,0,0,0,3,13.39285714,0,0,0,,0,0,,:,,:,0,0
22,20200229,S08000029,NHS Fife,0,0,0,,0,0,0,5,59,15.76991955,5,0,0,,5,0,,:,,:,0,0
23,20200229,S08000030,NHS Tayside,0,1,0.240067219,,0,0,0,1,83,19.92557916,1,0,0,,1,0,,:,,:,0,0
24,20200229,S08000031,NHS Greater Glasgow and Clyde,0,0,0,,0,0,0,19,132,11.13698491,30,0,0,,30,0,,:,,:,0,0
25,20200229,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,8,64,9.668257901,11,0,0,,11,0,,:,,:,0,0
26,20200229,S92000003,Scotland,0,2,0.036589828,,0,0,0,67,768,14.05049396,90,0,0,,90,0,,:,,:,0,0
27,20200301,S08000015,NHS Ayrshire and Arran,0,0,0,,0,0,0,7,39,10.59811408,7,0,0,,7,0,,:,,:,0,0
28,20200301,S08000016,NHS Borders,0,0,0,,0,0,0,2,29,25.16487331,3,0,0,,3,0,,:,,:,0,0
29,20200301,S08000017,NHS Dumfries and Galloway,0,0,0,,0,0,0,4,29,19.55627487,4,0,0,,4,0,,:,,:,0,0
30,20200301,S08000019,NHS Forth Valley,1,1,0.32687216,,0,0,0,2,70,22.88105122,6,1,16.66666667,,6,0,,:,,:,1,0
31,20200301,S08000020,NHS Grampian,1,2,0.341559218,,0,0,0,4,89,15.19938519,7,1,14.28571429,,7,0,,:,,:,1,0
32,20200301,S08000022,NHS Highland,0,0,0,,0,0,0,0,32,9.973197033,1,0,0,,1,0,,:,,:,0,0
