Health Area,Site Name,Date,Population Band,Population,Result Description - N1 Gene,Reported Value - N1 Gene (gc/l),Days Since Sampled
Ayrshire and Arran,Cumnock,19/02/2021,10k - 100k,13690,Positive,85619,220 days
Ayrshire and Arran,Cumnock,23/02/2021,10k - 100k,13690,Positive,75691,216 days
Ayrshire and Arran,Cumnock,01/03/2021,10k - 100k,13690,Positive,42624,210 days
Ayrshire and Arran,Cumnock,08/03/2021,10k - 100k,13690,Positive,12469,203 days
Ayrshire and Arran,Cumnock,15/03/2021,10k - 100k,13690,Positive,13536,196 days
Ayrshire and Arran,Cumnock,22/03/2021,10k - 100k,13690,Positive,30014,189 days
Ayrshire and Arran,Cumnock,30/03/2021,10k - 100k,13690,Positive (DNQ),9513,181 days
Ayrshire and Arran,Cumnock,06/04/2021,10k - 100k,13690,Positive (DNQ),7509,174 days
Ayrshire and Arran,Cumnock,12/04/2021,10k - 100k,13690,Positive (DNQ),2990,168 days
Ayrshire and Arran,Cumnock,28/04/2021,10k - 100k,13690,Weak Positive,658,152 days
Ayrshire and Arran,Cumnock,07/05/2021,10k - 100k,13690,Weak Positive,658,143 days
Ayrshire and Arran,Cumnock,10/05/2021,10k - 100k,13690,Positive (DNQ),1580,140 days
Ayrshire and Arran,Cumnock,19/05/2021,10k - 100k,13690,Negative,0,131 days
Ayrshire and Arran,Cumnock,26/05/2021,10k - 100k,13690,Weak Positive,658,124 days
Ayrshire and Arran,Cumnock,02/06/2021,10k - 100k,13690,Positive,43795,117 days
Ayrshire and Arran,Cumnock,09/06/2021,10k - 100k,13690,Positive,24305,110 days
Ayrshire and Arran,Cumnock,16/06/2021,10k - 100k,13690,Positive,17045,103 days
Ayrshire and Arran,Cumnock,22/06/2021,10k - 100k,13690,Positive,22342,97 days
Ayrshire and Arran,Cumnock,29/06/2021,10k - 100k,13690,Positive,145126,90 days
Ayrshire and Arran,Cumnock,06/07/2021,10k - 100k,13690,Positive,440416,83 days
Ayrshire and Arran,Cumnock,13/07/2021,10k - 100k,13690,Positive,107928,76 days
Ayrshire and Arran,Cumnock,20/07/2021,10k - 100k,13690,Positive,75879,69 days
Ayrshire and Arran,Cumnock,26/07/2021,10k - 100k,13690,Positive,161821,63 days
Ayrshire and Arran,Cumnock,30/08/2021,10k - 100k,13690,Positive,254939,28 days
Ayrshire and Arran,Cumnock,06/09/2021,10k - 100k,13690,Positive,143341,21 days
Ayrshire and Arran,Cumnock,15/09/2021,10k - 100k,13690,Positive,446588,12 days
Ayrshire and Arran,Fairlie,18/02/2021,0 - 2k,1535,Positive,21820,221 days
Ayrshire and Arran,Fairlie,24/02/2021,0 - 2k,1535,Positive (DNQ),5231,215 days
Ayrshire and Arran,Fairlie,25/02/2021,0 - 2k,1535,Positive (DNQ),1732,214 days
Ayrshire and Arran,Fairlie,03/03/2021,0 - 2k,1535,Weak Positive,658,208 days
Ayrshire and Arran,Fairlie,04/03/2021,0 - 2k,1535,Weak Positive,658,207 days
Ayrshire and Arran,Fairlie,09/03/2021,0 - 2k,1535,Positive (DNQ),6807,202 days
Ayrshire and Arran,Fairlie,10/03/2021,0 - 2k,1535,Positive (DNQ),7457,201 days
Ayrshire and Arran,Fairlie,16/03/2021,0 - 2k,1535,Positive (DNQ),1807,195 days
Ayrshire and Arran,Fairlie,17/03/2021,0 - 2k,1535,Weak Positive,658,194 days
Ayrshire and Arran,Fairlie,25/03/2021,0 - 2k,1535,Negative,0,186 days
Ayrshire and Arran,Fairlie,26/03/2021,0 - 2k,1535,Negative,0,185 days
Ayrshire and Arran,Fairlie,31/03/2021,0 - 2k,1535,Weak Positive,658,180 days
Ayrshire and Arran,Fairlie,01/04/2021,0 - 2k,1535,Negative,0,179 days
Ayrshire and Arran,Fairlie,09/04/2021,0 - 2k,1535,Negative,0,171 days
Ayrshire and Arran,Fairlie,14/04/2021,0 - 2k,1535,Negative,0,166 days
Ayrshire and Arran,Fairlie,15/04/2021,0 - 2k,1535,Negative,0,165 days
Ayrshire and Arran,Fairlie,27/04/2021,0 - 2k,1535,Negative,0,153 days
Ayrshire and Arran,Fairlie,28/04/2021,0 - 2k,1535,Weak Positive,658,152 days
Ayrshire and Arran,Fairlie,06/05/2021,0 - 2k,1535,Positive (DNQ),6061,144 days
Ayrshire and Arran,Fairlie,07/05/2021,0 - 2k,1535,Weak Positive,658,143 days
Ayrshire and Arran,Fairlie,12/05/2021,0 - 2k,1535,Negative,0,138 days
Ayrshire and Arran,Fairlie,14/05/2021,0 - 2k,1535,Negative,0,136 days
Ayrshire and Arran,Fairlie,18/05/2021,0 - 2k,1535,Negative,0,132 days
Ayrshire and Arran,Fairlie,19/05/2021,0 - 2k,1535,Negative,0,131 days
Ayrshire and Arran,Fairlie,25/05/2021,0 - 2k,1535,Negative,0,125 days
Ayrshire and Arran,Fairlie,26/05/2021,0 - 2k,1535,Weak Positive,658,124 days
Ayrshire and Arran,Fairlie,03/06/2021,0 - 2k,1535,Weak Positive,658,116 days
Ayrshire and Arran,Fairlie,04/06/2021,0 - 2k,1535,Negative,0,115 days
Ayrshire and Arran,Fairlie,09/06/2021,0 - 2k,1535,Weak Positive,658,110 days
Ayrshire and Arran,Fairlie,10/06/2021,0 - 2k,1535,Positive (DNQ),1344,109 days
Ayrshire and Arran,Fairlie,15/06/2021,0 - 2k,1535,Weak Positive,658,104 days
Ayrshire and Arran,Fairlie,16/06/2021,0 - 2k,1535,Negative,0,103 days
Ayrshire and Arran,Fairlie,23/06/2021,0 - 2k,1535,Weak Positive,658,96 days
Ayrshire and Arran,Fairlie,24/06/2021,0 - 2k,1535,Positive (DNQ),1881,95 days
Ayrshire and Arran,Fairlie,29/06/2021,0 - 2k,1535,Positive (DNQ),3104,90 days
Ayrshire and Arran,Fairlie,07/07/2021,0 - 2k,1535,Weak Positive,658,82 days
Ayrshire and Arran,Fairlie,08/07/2021,0 - 2k,1535,Weak Positive,658,81 days
